Country,IFF,VoiceAcct,PoliStabNoViolence,GovtEffect,RegQua,RuleofLaw,ContofCorrup,undp_hdi,hdi_life_exp,hdi_educ,hdi_income,vulnerable_employment,aid_percentage_gni,pop,gdppc,urban,lifeexp,Year
Afghanistan,2,-1.375495195,-2.71142149,-1.511001945,-1.664507627,-1.876118779,-1.552298784,0.455,0.752,0.618,0.623,47.58,3.8,28004331,1065,23,60,0
Albania,556,0.141477332,-0.045140512,-0.254886448,0.241446003,-0.494370162,-0.54527092,0.733,0.865,0.65,0.699,56.48,3.013453,2927519,10313.93,51.076,76.221,0
Algeria,5432,-1.038418889,-1.196913481,-0.529050767,-0.964235187,-0.825566888,-0.614938259,0.711,0.841,0.608,0.704,28.91,0.2225119,35333882,10782.36,66.826,74.644,0
Angola,1212,-1.126135349,-0.347591847,-0.947048008,-1.059525251,-1.236289263,-1.397766113,0.515,0.528,0.404,0.641,65.99001,0.3763781,22514275,7643.496,59.034,54.311,0
Antigua and Barbuda,38,0.589427829,0.721793532,0.497778326,0.653302133,0.972667456,1.317764997,0.778,0.752,0.618,0.623,47.58,3.8,86219,11884,26,75,0
Argentina,4251,0.280091494,-0.234854579,-0.295640558,-0.830836773,-0.694468081,-0.445475101,0.821,0.848,0.81,0.807,19.59,0.0359607,40482786,21519.89,90.691,75.116,0
Armenia,161,-0.876420259,0.227863356,-0.019941108,0.27345407,-0.468710691,-0.621459663,0.742,0.817,0.729,0.687,42.59,4.503305,2888094,9052.384,63.54,73.118,0
Aruba,81,1.252343535,1.121554255,1.496455789,-1.538727045,1.426206708,1.109147549,0.79,0.752,0.618,0.623,47.58,3.8,101484,27499,44,75,0
Azerbaijan,1178,-1.259766698,-0.277853519,-0.661590874,-0.316738784,-0.879176021,-1.194081903,0.758,0.752,0.618,0.623,47.58,3.8,8536700,7642,53,70,0
Bahrain,679,-0.790999949,-0.137239441,0.476081342,0.692689776,0.51149267,0.180615962,0.806,0.752,0.618,0.623,47.58,3.8,796617,19877,89,76,0
Bangladesh,2535,-0.289043039,-1.546771407,-0.802224457,-0.866342843,-0.784571469,-1.075251222,0.543,0.761,0.409,0.513,62.58,0.9789636,145924795,2762.18,29.709,69.485,0
Barbados,122,1.127871275,1.047740698,1.480269432,0.584923089,1.007878065,1.376189828,0.825,0.752,0.618,0.623,47.58,3.8,285000,15726,13,75,0
Belarus,1317,-1.547644138,0.489347756,-1.209062576,-1.157031417,-1.026430488,-0.56215173,0.788,0.752,0.618,0.623,47.58,3.8,9481000,8100,74,70,0
Belize,78,0.744926631,0.028430205,-0.306259096,-0.368749797,-0.323144495,0.041316897,0.706,0.752,0.618,0.623,47.58,3.8,304106,7555,53,73,0
Benin,289,0.342523217,0.403666675,-0.598890066,-0.398531437,-0.65431422,-0.627268314,0.488,0.6,0.389,0.499,88.88,6.981197,8944713,2724.085,42.58,59.009,0
Bhutan,3,-0.461808324,0.803496659,0.51552695,-1.071835279,0.219097927,0.937309504,0.522,0.752,0.618,0.623,47.58,3.8,691141,6707,30,69,0
Bolivia,390,0.006946584,-0.506110489,-0.607502222,-0.873411775,-1.1139189,-0.631416976,0.663,0.73,0.639,0.623,52.94,3.670246,9884790,6455.968,65.984,67.476,0
Bosnia and Herzegovina,798,0.003171806,-0.665914297,-0.719220936,-0.110355966,-0.360137552,-0.379986048,0.727,0.859,0.625,0.714,22.97,2.281525,3735945,10755.97,45.239,75.844,0
Botswana,291,0.437099367,0.953861237,0.414568633,0.607087076,0.586034954,0.927733779,0.65,0.592,0.632,0.735,27.68,2.815303,1953495,13235.96,60.937,58.447,0
Brazil,17859,0.52199918,0.163664222,-0.158917338,0.127607271,-0.103854693,-0.079985611,0.719,0.82,0.61,0.743,28.63,0.0229926,193886505,13962.26,84.044,73.3,0
Brunei Darussalam,403,-0.7307145,1.387126684,0.913711667,1.084986091,0.782543302,0.984291792,0.838,0.752,0.618,0.623,47.58,3.8,388190,17100,78,75,0
Bulgaria,3236,0.560471177,0.353678972,0.068754435,0.694785178,-0.040312354,-0.229267567,0.782,0.823,0.752,0.773,8.99,0,7444443,17229.85,71.963,73.4122,0
Burkina Faso,112,-0.289741963,0.034040287,-0.615956783,-0.141745225,-0.204172462,-0.345606595,0.373,0.56,0.22,0.421,91.05,11.61123,15141098,1631.194,24.079,56.377,0
Burundi,25,-0.689463794,-1.271442652,-1.069054723,-1.167749643,-1.159935355,-1.132561207,0.401,0.561,0.359,0.319,83.43,32.63047,8397661,831.5648,10.376,56.488,0
Cambodia,428,-0.913421929,-0.560373843,-0.958654165,-0.495730013,-1.123961687,-1.181240082,0.528,0.708,0.428,0.486,73.47,6.410598,14093605,2603.583,19.93,66.014,0
Cameroon,576,-1.040355802,-0.474782139,-0.850612581,-0.769573271,-1.130954266,-1.020551085,0.498,0.533,0.448,0.517,78.36,2.475306,19789922,3067.222,50.954,54.627,0
Central African Republic,12,-1.00347209,-1.903989911,-1.401379704,-1.257949591,-1.323868155,-0.988850176,0.352,0.752,0.618,0.623,47.58,3.8,4486837,400,39,48,0
Chile,2738,1.016896248,0.602584422,1.144156694,1.427399278,1.194090486,1.321234822,0.822,0.901,0.784,0.787,23.27,0.0472896,16886184,20298.25,87.017,78.558,0
China,182735,-1.701168418,-0.451781332,0.081667021,-0.298093945,-0.463213772,-0.519456625,0.772,0.752,0.618,0.623,47.58,3.8,1338612968,7047,47,74,0
Colombia,3578,-0.149577633,-1.832345843,-0.300278097,0.088281721,-0.367777586,-0.337012529,0.72,0.849,0.617,0.712,48.1,0.4702513,44750054,11395.56,77.587,75.193,0
Comoros,10,-0.341993928,-0.76526773,-1.729006648,-1.538727045,-1.157972217,-0.812594295,0.498,0.752,0.618,0.623,47.58,3.8,691000,886,24,63,0
Costa Rica,2058,1.005833626,0.587060392,0.319172204,0.518184364,0.5788095,0.715470135,0.762,0.902,0.65,0.756,20.12,0.3787544,4520739,16174.28,70.575,78.626,0
Croatia,2811,0.486277699,0.61292696,0.590058148,0.472275615,0.043875948,-0.086094983,0.812,0.87,0.746,0.825,15.95,0.2801744,4305181,24548.79,54.987,76.1683,0
Djibouti,33,-1.209394693,0.494239002,-0.933272064,-0.660491347,-0.697536051,-0.367729425,0.439,0.752,0.618,0.623,47.58,3.8,864618,1682,85,62,0
Dominica,18,1.012253165,0.665553093,0.670342624,0.497561961,0.741603673,0.80834341,0.724,0.752,0.618,0.623,47.58,3.8,68500,9932,59,76,0
Dominican Republic,1232,0.089798421,-0.002735103,-0.627658546,-0.163394451,-0.809174061,-0.80672878,0.7,0.797,0.601,0.717,42.49,0.3000227,9576736,11944.35,72.542,71.806,0
Ecuador,1518,-0.250357389,-0.673675776,-0.739758551,-1.259179473,-1.205040216,-0.744574428,0.719,0.845,0.633,0.695,41.34,0.3650016,14774412,10148.87,62.495,74.895,0
