Country,2009-IFF,2010-IFF,2011-IFF,2012-IFF,2013-IFF,2014-IFF,2015-IFF,2016-IFF,2017-IFF,2018-IFF,2009-VoiceAcct,2010-VoiceAcct,2011-VoiceAcct,2012-VoiceAcct,2013-VoiceAcct,2014-VoiceAcct,2015-VoiceAcct,2016-VoiceAcct,2017-VoiceAcct,2018-VoiceAcct,2009-PoliStabNoViolence,2010-PoliStabNoViolence,2011-PoliStabNoViolence,2012-PoliStabNoViolence,2013-PoliStabNoViolence,2014-PoliStabNoViolence,2015-PoliStabNoViolence,2016-PoliStabNoViolence,2017-PoliStabNoViolence,2018-PoliStabNoViolence,2009-GovtEffect,2010-GovtEffect,2011-GovtEffect,2012-GovtEffect,2013-GovtEffect,2014-GovtEffect,2015-GovtEffect,2016-GovtEffect,2017-GovtEffect,2018-GovtEffect,2009-RegQua,2010-RegQua,2011-RegQua,2012-RegQua,2013-RegQua,2014-RegQua,2015-RegQua,2016-RegQua,2017-RegQua,2018-RegQua,2009-RuleofLaw,2010-RuleofLaw,2011-RuleofLaw,2012-RuleofLaw,2013-RuleofLaw,2014-RuleofLaw,2015-RuleofLaw,2016-RuleofLaw,2017-RuleofLaw,2018-RuleofLaw,2009-ContofCorrup,2010-ContofCorrup,2011-ContofCorrup,2012-ContofCorrup,2013-ContofCorrup,2014-ContofCorrup,2015-ContofCorrup,2016-ContofCorrup,2017-ContofCorrup,2018-ContofCorrup,2009_undp_hdi,2009_hdi_life_exp,2009_hdi_educ,2009_hdi_income,2009_vulnerable_employment,2009_aid_percentage_gni,2009_pop,2009_gdppc,2009_urban,2009_lifeexp,2010_undp_hdi,2010_hdi_life_exp,2010_hdi_educ,2010_hdi_income,2010_vulnerable_employment,2010_aid_percentage_gni,2010_pop,2010_gdppc,2010_urban,2010_lifeexp,2011_undp_hdi,2011_hdi_life_exp,2011_hdi_educ,2011_hdi_income,2011_vulnerable_employment,2011_aid_percentage_gni,2011_pop,2011_gdppc,2011_urban,2011_lifeexp,2012_undp_hdi,2012_hdi_life_exp,2012_hdi_educ,2012_hdi_income,2012_vulnerable_employment,2012_aid_percentage_gni,2012_pop,2012_gdppc,2012_urban,2012_lifeexp,2013_undp_hdi,2013_hdi_life_exp,2013_hdi_educ,2013_hdi_income,2013_vulnerable_employment,2013_aid_percentage_gni,2013_pop,2013_gdppc,2013_urban,2013_lifeexp,2014_undp_hdi,2014_hdi_life_exp,2014_hdi_educ,2014_hdi_income,2014_vulnerable_employment,2014_aid_percentage_gni,2014_pop,2014_gdppc,2014_urban,2014_lifeexp,2015_undp_hdi,2015_hdi_life_exp,2015_hdi_educ,2015_hdi_income,2015_vulnerable_employment,2015_aid_percentage_gni,2015_pop,2015_gdppc,2015_urban,2015_lifeexp,2016_undp_hdi,2016_hdi_life_exp,2016_hdi_educ,2016_hdi_income,2016_vulnerable_employment,2016_aid_percentage_gni,2016_pop,2016_gdppc,2016_urban,2016_lifeexp,2017_undp_hdi,2017_hdi_life_exp,2017_hdi_educ,2017_hdi_income,2017_vulnerable_employment,2017_aid_percentage_gni,2017_pop,2017_gdppc,2017_urban,2017_lifeexp,2018_undp_hdi,2018_hdi_life_exp,2018_hdi_educ,2018_hdi_income,2018_vulnerable_employment,2018_aid_percentage_gni,2018_pop,2018_gdppc,2018_urban,2018_lifeexp
Afghanistan,2.0,6.0,52.0,14.16666667,14.16666667,14.16666667,6.0,6.00,14.16666667,13.0,-1.375495195,-1.404467344,-1.335976958,-1.267430067,-1.240068436,-1.135439992,-1.117556691,-1.037788033,-0.990813971,-1.011600018,-2.71142149,-2.579151869,-2.502059698,-2.418561459,-2.519349098,-2.411068439,-2.571221828,-2.671053886,-2.801083803,-2.763864279,-1.511001945,-1.480805755,-1.477033496,-1.376418829,-1.400745392,-1.362318277,-1.351807714,-1.254181504,-1.35992229,-1.479299188,-1.664507627,-1.516528249,-1.536323905,-1.192579746,-1.1930902,-1.124133706,-1.006208181,-1.336581707,-1.355372787,-1.147590399,-1.876118779,-1.87005806,-1.922500134,-1.651893139,-1.609111547,-1.437044501,-1.49849236,-1.5123806,-1.577595592,-1.681357741,-1.552298784,-1.645391107,-1.600470781,-1.430372834,-1.445908427,-1.364742875,-1.348587155,-1.534049273,-1.521725655,-1.489771724,0.455,0.752,0.618,0.623,47.58,3.8,28004331,1065.0,23.0,60.0,0.398,0.757,0.611,0.644,47.26,3.57,28803167,1709.0,24.0,61.0,0.398,0.778,0.626,0.644,46.85,3.15,28803167,1800.0,24.0,61.0,0.479,0.767,0.63,0.65,46.33,3.03,28803167,1800.0,24.0,60.0,0.479,0.772,0.615,0.655,45.87,25.5,28803167,2000.0,25.0,60.0,0.479,0.777,0.629,0.66,43.917,5.53,28803167,2100.0,27.0,60.0,0.493,0.781,0.657,0.658,44.97,2.77,28803167,599.0,27.0,62.0,0.498,0.785,0.66,0.659,44.59,22.5,28803167,1878.0,27.0,64.0,0.498,0.789,0.665,0.662,44.47,25.7,28803167,2209.0,75.0,64.0,0.498,0.792,0.668,0.665,44.13,23.1,28803167,1958.0,25.0,64.0
Albania,556.0,627.0,737.0,708.0,674.0,593.0,595.0,642.0,495.0,605.0,0.141477332,0.123838224,0.062333763,0.022064038,0.048892591,0.1437774,0.157161772,0.170948684,0.203805894,0.180729449,-0.045140512,-0.191482902,-0.282379419,-0.143631592,0.091929786,0.485986233,0.34612906,0.344644666,0.378474772,0.370515645,-0.254886448,-0.278687119,-0.200375155,-0.267875999,-0.323595732,-0.048802413,0.059288189,0.059715111,0.12872985,0.110513411,0.241446003,0.233281955,0.283972561,0.240491986,0.254160255,0.279037684,0.189514965,0.196168706,0.23308672,0.266459137,-0.494370162,-0.385760486,-0.442926466,-0.519839764,-0.518606007,-0.310979843,-0.298862904,-0.304018438,-0.395079285,-0.395619303,-0.54527092,-0.531616509,-0.701794147,-0.778729439,-0.750955939,-0.586141348,-0.520959854,-0.44898048,-0.45825699,-0.524145126,0.733,0.865,0.65,0.699,56.48,3.013453,2927519,10313.93,51.076,76.221,0.745,0.87,0.671,0.707,55.13,3.091922,2913021,10749.49,52.163,76.562,0.764,0.876,0.714,0.713,59.2,2.943101,2905195,11052.79,53.247,76.914,0.775,0.881,0.739,0.715,61.53,2.855234,2900401,11227.99,54.33,77.252,0.782,0.885,0.749,0.721,57.78,2.077326,2895092,11361.29,55.387,77.554,0.732,0.777,0.629,0.66,43.917,5.53,2889065,4579.0,56.24,78.41,0.788,0.893,0.753,0.727,56.46,2.909116,2880703,11878.49,57.434,78.025,0.788,0.895,0.745,0.732,55.9,1.418908,2876101,12291.87,58.421,78.194,0.79,0.897,0.747,0.736,54.11,1.289669,2873457,12770.97,59.383,78.333,0.792,0.899,0.743,0.743,52.19,2.275769,2866376,13323.75,60.319,78.458
Algeria,5432.0,6857.0,6874.0,6360.0,7117.0,6900.0,4996.0,4366.0,4256.0,5909.44,-1.038418889,-1.022330761,-1.004121184,-0.906026602,-0.893353224,-0.813357711,-0.847575545,-0.861592352,-0.902943969,-0.9997105,-1.196913481,-1.259367585,-1.360560656,-1.325043321,-1.202371478,-1.190535188,-1.090159774,-1.097525716,-0.915799141,-0.836119592,-0.529050767,-0.388126194,-0.514732301,-0.444745928,-0.428817511,-0.336888343,-0.377993971,-0.430877894,-0.506708324,-0.457864255,-0.964235187,-1.104800701,-1.212379932,-1.320389032,-1.138440609,-1.30188942,-1.233237743,-1.230026245,-1.259408355,-1.329962969,-0.825566888,-0.816793382,-0.845334828,-0.812617719,-0.693158984,-0.804205596,-0.927119017,-0.906229854,-0.912661433,-0.793038607,-0.614938259,-0.552147269,-0.572699666,-0.521544516,-0.472622782,-0.612656415,-0.616887093,-0.652786314,-0.576397896,-0.637313366,0.711,0.841,0.608,0.704,28.91,0.2225119,35333882,10782.36,66.826,74.644,0.721,0.845,0.626,0.708,29.22,0.1251421,35977451,10970.71,67.54,74.938,0.728,0.849,0.644,0.707,29.53,0.0976999,36661438,11078.24,68.236,75.199,0.728,0.853,0.639,0.707,28.2,0.0717982,37383899,11233.53,68.915,75.436,0.729,0.856,0.639,0.708,26.93,0.0991191,38140135,11319.1,69.576,75.661,0.736,0.86,0.652,0.71,26.96,0.0768549,38923688,11512.71,70.221,75.878,0.74,0.863,0.659,0.712,26.99,0.0440326,39728020,11696.96,70.848,76.09,0.743,0.866,0.66,0.717,27.05,0.0912168,40551398,11826.17,71.459,76.298,0.745,0.869,0.665,0.715,27.12,0.1042826,41389174,11737.42,72.052,76.499,0.746,0.872,0.668,0.714,27.35,0.0845231,42228415,11642.2,72.629,76.693
Angola,1212.0,1308.0,888.0,1373.0,1807.0,1692.0,1285.0,1151.0,797.0,738.0,-1.126135349,-1.120525122,-1.125478387,-1.076246738,-1.113843679,-1.145230174,-1.177087069,-1.140292645,-1.098074555,-0.906310201,-0.347591847,-0.226182342,-0.36923781,-0.389322549,-0.391233474,-0.333232045,-0.500897765,-0.315898836,-0.380449027,-0.33569175,-0.947048008,-1.142090201,-1.197987199,-0.990929544,-1.246629715,-1.055083632,-0.893182993,-0.936142445,-0.919977069,-0.978714645,-1.059525251,-1.0602175,-1.107531548,-0.990437567,-1.041670442,-0.860683441,-0.84234482,-0.957892835,-1.026228189,-0.785790086,-1.236289263,-1.272953272,-1.277053237,-1.304776907,-1.290795803,-1.074789524,-1.013800979,-0.99123174,-1.026077271,-0.986207545,-1.397766113,-1.332474947,-1.367469072,-1.302401423,-1.336874723,-1.457798243,-1.409269571,-1.467879415,-1.428053498,-1.180501461,0.515,0.528,0.404,0.641,65.99001,0.3763781,22514275,7643.496,59.034,54.311,0.517,0.544,0.398,0.64,66.42,0.3106087,23356247,7692.434,59.783,55.35,0.533,0.559,0.423,0.639,67.71,0.1889857,24220660,7675.446,60.528,56.33,0.544,0.573,0.435,0.648,67.9,0.2070966,25107925,8036.692,61.268,57.236,0.555,0.585,0.447,0.652,69.0,0.2251719,26015786,8140.526,62.002,58.054,0.533,0.777,0.629,0.66,43.917,5.53,20116000,4104.0,59.48,51.0,0.572,0.606,0.472,0.655,71.15,0.3446127,27884380,8036.411,63.446,59.398,0.578,0.614,0.487,0.646,71.7,0.2154717,28842482,7568.998,64.149,59.925,0.582,0.621,0.498,0.639,72.41,0.1947509,29816769,7310.896,64.839,60.379,0.582,0.627,0.5,0.627,73.13,0.1739239,30809787,6933.5,65.514,60.782
Antigua and Barbuda,38.0,28.0,24.0,23.0,28.0,62.0,28.0,27.0,59.0,46.0,0.589427829,0.495849043,0.511174679,0.640056968,0.618955672,0.558731198,0.595008314,0.633674026,0.608594477,0.57005775,0.721793532,0.904999375,0.957588255,0.975788057,0.958863378,0.984550714,1.004724503,0.878607213,0.748045027,0.84085685,0.497778326,0.487507224,0.481147528,0.480951369,0.486867696,-0.070714049,0.225600779,0.263139009,0.007696266,-0.009982543,0.653302133,0.642825544,0.631379724,0.599272251,0.601454556,0.529373944,0.370155632,0.337577105,0.249312833,0.412241846,0.972667456,0.952869892,0.942094743,0.945719004,0.831776917,-0.175930172,0.586109579,0.503302038,0.439102709,0.409626514,1.317764997,1.301772714,1.272298098,1.260530829,1.253548503,0.634897768,0.685850799,0.688038766,0.23745203,0.272347629,0.778,0.752,0.618,0.623,47.58,3.8,86219,11884.0,26.0,75.0,0.782,0.757,0.611,0.644,47.26,3.57,86754,13356.0,25.0,75.0,0.782,0.778,0.626,0.644,46.85,3.15,86754,13342.0,25.0,74.0,0.782,0.767,0.63,0.65,46.33,3.03,86754,16863.0,26.0,74.0,0.781,0.772,0.615,0.655,45.87,3.4,86754,16863.0,26.0,74.0,0.781,0.777,0.629,0.66,43.917,5.53,86754,18104.0,26.0,74.0,0.778,0.781,0.657,0.658,44.97,2.77,86754,1593.0,26.0,75.0,0.778,0.785,0.66,0.659,44.59,3.3,86754,19810.0,26.0,76.0,0.778,0.789,0.665,0.662,44.47,3.2,86754,19810.0,26.0,76.0,0.778,0.792,0.668,0.665,44.13,3.16,86754,17683.0,26.0,76.0
Argentina,4251.0,5528.0,6604.0,6227.0,6482.0,5709.0,5581.0,4567.0,5621.0,5350.0,0.280091494,0.361670136,0.344941825,0.295209914,0.27698788,0.34533906,0.411802024,0.493365467,0.528664351,0.530451119,-0.234854579,-0.084797867,0.158993661,0.103040546,0.065314263,-0.005121871,0.01478538,0.204625502,0.169504255,0.010891375,-0.295640558,-0.111378528,-0.071486443,-0.206465602,-0.253652781,-0.109243862,-0.016539078,0.250169098,0.164413184,0.054248072,-0.830836773,-0.742940903,-0.701964378,-0.897686779,-0.928134799,-1.066149592,-0.876747191,-0.33751902,-0.181595474,-0.183625966,-0.694468081,-0.598094225,-0.563123286,-0.623034239,-0.656233191,-0.866434515,-0.731063604,-0.304281622,-0.219416529,-0.20049113,-0.445475101,-0.355230033,-0.364098519,-0.445909202,-0.434015781,-0.549443066,-0.557244956,-0.274941713,-0.284516692,-0.074287266,0.821,0.848,0.81,0.807,19.59,0.0359607,40482786,21519.89,90.691,75.116,0.829,0.85,0.818,0.82,19.05,0.0318544,40788453,23521.27,90.849,75.278,0.835,0.853,0.824,0.828,18.62,0.0188414,41261490,24647.63,90.99,75.439,0.834,0.855,0.822,0.825,19.03,0.0333992,41733271,24118.87,91.121,75.598,0.835,0.858,0.822,0.827,19.69,0.0064451,42202935,24424.14,91.249,75.756,0.827,0.777,0.629,0.66,43.917,5.53,40117096,12245.3,92.2,76.16,0.84,0.863,0.832,0.824,20.43,-0.0032387,43131966,23933.89,91.503,76.068,0.839,0.865,0.834,0.819,21.12,0.00048,43590368,23189.53,91.627,76.221,0.843,0.867,0.842,0.821,21.51,-0.000187,44044811,23597.12,91.749,76.372,0.842,0.87,0.842,0.814,21.62,0.0146511,44494502,22759.4,91.87,76.52
Armenia,161.0,191.0,229.0,215.0,205.0,189.0,151.0,160.0,179.0,199.0,-0.876420259,-0.847521544,-0.690779805,-0.570491433,-0.588030815,-0.562072694,-0.536284149,-0.579242349,-0.560795248,-0.137946114,0.227863356,0.071855329,-0.063868985,0.154794976,0.110385142,-0.2971358,-0.252332628,-0.662263811,-0.62077117,-0.444908142,-0.019941108,-0.16639477,-0.10899628,-0.026902404,0.085326582,-0.251768827,-0.276716083,-0.275093079,-0.215339452,-0.141409367,0.27345407,0.268946558,0.246940598,0.334273398,0.235182688,0.158519909,0.201865211,0.214404643,0.240957707,0.360776484,-0.468710691,-0.48135832,-0.437706411,-0.418281972,-0.340971231,-0.417796254,-0.445906013,-0.143536806,-0.191404387,-0.178264081,-0.621459663,-0.69503957,-0.664559424,-0.58800149,-0.530450225,-0.565155387,-0.584427893,-0.637749076,-0.614445984,-0.385727823,0.742,0.817,0.729,0.687,42.59,4.503305,2888094,9052.384,63.54,73.118,0.747,0.82,0.734,0.692,42.62,3.295959,2877314,9286.197,63.44,73.331,0.751,0.824,0.737,0.697,43.8,3.580112,2876536,9725.278,63.34,73.572,0.756,0.828,0.736,0.708,43.1,2.450202,2884239,10397.65,63.24,73.82,0.762,0.832,0.743,0.715,42.34,2.375124,2897593,10691.28,63.164,74.056,0.741,0.777,0.629,0.66,43.917,5.53,3060631,3994.0,63.9,74.17,0.768,0.838,0.75,0.72,41.89,3.16416,2925559,11321.33,63.085,74.467,0.766,0.841,0.744,0.718,40.91,3.024941,2936147,11303.07,63.082,74.64,0.769,0.843,0.739,0.73,39.12,2.157887,2944789,12115.14,63.103,74.797,0.771,0.845,0.74,0.734,34.7,1.117181,2951741,12715.11,63.149,74.945
Aruba,81.0,79.0,93.0,86.0,103.0,100.0,84.0,72.0,69.0,85.222,1.252343535,1.281883717,1.273587823,1.28464973,1.278059244,1.276849508,1.273960948,1.279364109,1.295545578,1.271601558,1.121554255,1.100847363,1.285737753,1.263881564,1.312226295,1.164567828,1.230921268,1.284199238,1.335037708,1.356553197,1.496455789,1.246244311,1.236214161,1.247285604,1.221145153,0.88769412,0.880507171,0.888866127,0.913862348,1.05176115,-1.538727045,-1.395898819,-1.361962438,-1.386602283,-1.216394186,-1.123272777,-1.069913149,-1.088867188,-1.087726712,-1.16871655,1.426206708,1.416113615,1.322458386,1.309788346,1.292504787,1.036310434,1.255770087,1.253774881,1.325272083,1.289509773,1.109147549,1.121295571,1.10294652,1.095235944,1.1194067,1.014231563,1.294156194,1.28040731,1.287307858,1.247948408,0.79,0.752,0.618,0.623,47.58,3.8,101484,27499.0,44.0,75.0,0.79,0.757,0.611,0.644,47.26,3.57,101484,24000.0,100.0,76.0,0.79,0.778,0.626,0.644,46.85,3.15,101484,24698.0,100.0,76.0,0.79,0.767,0.63,0.65,46.33,3.03,101484,19446.0,43.0,79.0,0.79,0.772,0.615,0.655,45.87,3.4,101484,26647.0,43.0,81.0,0.79,0.777,0.629,0.66,43.917,5.53,101484,24713.0,43.0,81.0,0.798,0.781,0.657,0.658,44.97,2.77,101484,40493.0,44.0,82.0,0.0,0.785,0.66,0.659,44.59,3.3,101484,26687.0,44.0,75.0,0.854,0.789,0.665,0.662,44.47,3.2,101484,25655.0,44.0,75.0,0.866,0.792,0.668,0.665,44.13,3.16,101484,25981.0,44.0,76.0
Azerbaijan,1178.0,824.0,1254.0,2192.0,1590.0,1702.0,1237.0,775.0,1058.0,1436.0,-1.259766698,-1.30459702,-1.301847577,-1.29948163,-1.402769327,-1.479175925,-1.552383304,-1.56097424,-1.563634515,-1.511327386,-0.277853519,-0.238546923,-0.532135963,-0.715751827,-0.412859917,-0.559909523,-0.729565561,-0.803879082,-0.747919917,-0.70675981,-0.661590874,-0.811674297,-0.770396113,-0.78799051,-0.444532543,-0.305417299,-0.218868449,-0.11617627,-0.129922405,-0.104204588,-0.316738784,-0.392555356,-0.386364639,-0.488716811,-0.425340503,-0.268493652,-0.353247523,-0.386264741,-0.357856959,-0.302665323,-0.879176021,-0.891145051,-0.938726485,-0.879532695,-0.756104469,-0.696949005,-0.699357688,-0.523486674,-0.568372667,-0.603016794,-1.194081903,-1.245373249,-1.195314765,-1.142694116,-0.970375061,-1.022490263,-0.930738151,-0.831865549,-0.885625541,-0.831989169,0.758,0.752,0.618,0.623,47.58,3.8,8536700,7642.0,53.0,70.0,0.758,0.757,0.611,0.644,47.26,3.57,8536700,7101.0,53.0,70.0,0.758,0.778,0.626,0.644,46.85,3.15,8536700,10700.0,53.0,70.0,0.758,0.767,0.63,0.65,46.33,3.03,8536700,17100.0,54.0,72.0,0.758,0.772,0.615,0.655,45.87,3.4,8536700,17100.0,54.0,72.0,0.758,0.777,0.629,0.66,43.917,5.53,8536700,17100.0,53.0,76.0,0.758,0.781,0.657,0.658,44.97,2.77,8536700,17410.0,53.0,76.0,0.758,0.785,0.66,0.659,44.59,3.3,8536700,3874.0,53.0,76.0,0.758,0.789,0.665,0.662,44.47,3.2,8536700,11161.0,55.0,76.0,0.758,0.792,0.668,0.665,44.13,3.16,8536700,11451.0,56.0,76.0
Bahrain,679.0,589.0,874.0,884.0,867.0,1365.0,922.0,910.0,1046.0,1010.0,-0.790999949,-0.965909421,-1.217316866,-1.318024635,-1.317464471,-1.311059237,-1.313060999,-1.372028351,-1.387256622,-1.421438694,-0.137239441,-0.493476391,-0.950841904,-1.129954934,-1.335417747,-0.907474875,-1.073540211,-0.793425679,-0.961563706,-0.850452602,0.476081342,0.4516038,0.514924407,0.544541776,0.584795833,0.561928749,0.557333231,0.325291306,0.191406816,0.175440326,0.692689776,0.712015808,0.716491401,0.684159577,0.602282524,0.704518795,0.815443456,0.604506552,0.412573814,0.414948463,0.51149267,0.42974022,0.346452385,0.253650159,0.32640186,0.413401127,0.421636015,0.451010048,0.442517638,0.40709877,0.180615962,0.179316193,0.209991172,0.36653021,0.42616269,0.273521841,0.134317711,-0.021893913,-0.145698264,-0.151664436,0.806,0.752,0.618,0.623,47.58,3.8,796617,19877.0,89.0,76.0,0.782,0.757,0.611,0.644,47.26,3.57,1234571,23965.0,89.0,76.0,0.806,0.778,0.626,0.644,46.85,3.15,1234571,23965.0,89.0,76.0,0.806,0.767,0.63,0.65,46.33,3.03,1234571,23457.0,89.0,76.0,0.824,0.772,0.615,0.655,45.87,3.4,1234571,24606.0,89.0,76.0,0.824,0.777,0.629,0.66,43.917,5.53,1234571,24606.0,89.0,77.0,0.824,0.781,0.657,0.658,44.97,2.77,1234571,24606.0,89.0,76.0,0.824,0.785,0.66,0.659,44.59,3.3,1234571,24603.0,89.0,76.0,0.824,0.789,0.665,0.662,44.47,3.2,1234571,23405.0,89.0,77.0,0.852,0.792,0.668,0.665,44.13,3.16,1234571,24651.0,89.0,77.0
